user_id,rec_1,score_1,rec_2,score_2,rec_3,score_3
U1,P78,0.3960519644121069,P22,0.37725735102051866,P65,0.3087316692252571
U2,P80,0.30729562376748604,P5,0.2806567923615928,P92,0.2285844861265285
U3,P39,0.31495957135593855,P3,0.2790603864900215,P5,0.236908901884055
U4,P53,0.5178999940862069,P89,0.3157626108935069,P96,0.2756594724367271
U5,P26,0.39256900973822945,P7,0.32858816421320225,P69,0.3267500866239104
U6,P69,0.3196383631500855,P26,0.31156038337020986,P35,0.2639770955377033
U7,P5,0.40292075238582004,P92,0.19910242452551308,P7,0.1748237599496
U8,P17,0.43117924451989786,P46,0.4189581124830592,P50,0.30821431165038377
U9,P39,0.5226762286271646,P34,0.4344170140059336,P97,0.3736392925135115
U10,P90,0.3047037308963433,P79,0.27127117578768317,P54,0.26353232473431826
U11,P79,0.3677377875470563,P33,0.30643592229639205,P49,0.3002272663533673
U12,P64,0.2977461240514829,P81,0.29651494235889553,P26,0.2805227318939516
U13,P22,0.43206097419845857,P78,0.3059966686879431,P17,0.28460464448659506
U14,P40,0.392228748986944,P97,0.24486111379535042,P8,0.23100618054544048
U15,P77,0.35935381006889483,P18,0.331030227937092,P81,0.3016332865738403
U16,P85,0.31730211337353353,P73,0.2596699363078773,P1,0.24347543937980526
U17,P2,0.43114245663519335,P49,0.31534227249872815,P89,0.1994348620146743
U18,P51,0.30259644819607795,P56,0.23599977203889483,P98,0.21891712673250158
U19,P75,0.3325938981877793,P42,0.31064157740885256,P81,0.30504772761355836
U20,P14,0.26601019017895977,P52,0.251862278942496,P69,0.2417635129012376
U21,P81,0.31866067041385543,P41,0.2579326312486194,P33,0.24523437573433376
U22,P80,0.33293000337259127,P5,0.24835130079851625,P76,0.24061599618352839
U23,P82,0.2807022001732357,P4,0.24787828975954793,P46,0.19995790137263228
U24,P70,0.3738465393938401,P42,0.25862007122433794,P5,0.23256927553485043
U25,P64,0.4168278329254472,P91,0.27021505279590874,P16,0.2686105951508865
U26,P5,0.482378005769174,P46,0.3156113222100458,P1,0.30139136826888
U27,P85,0.2646234778941148,P71,0.2519735140164979,P34,0.2441579529608605
U28,P80,0.44209165813139356,P1,0.25271148581989145,P75,0.24792963757373926
U29,P81,0.4398557156607268,P12,0.3072016765397181,P64,0.24982861764010028
U30,P36,0.2786776573715808,P79,0.26452162464336293,P85,0.2558755264027839
U31,P3,0.31279783363972485,P60,0.29987712540480277,P47,0.261288926914104
U32,P82,0.4033392223436581,P33,0.22544263513274942,P17,0.2186742043447187
U33,P29,0.38408151423750053,P99,0.3416206463376853,P91,0.32001882035543183
U34,P5,0.3528010365292005,P58,0.31533447341918136,P93,0.2949417638057385
U35,P37,0.41201959419852474,P70,0.31427889942778436,P17,0.21782589757589305
U36,P64,0.2516497386926701,P12,0.23913149530333316,P17,0.21240987839097072
U37,P69,0.3728360598900097,P74,0.29232028626213447,P26,0.24692501599837655
U38,P87,0.30941944316006054,P62,0.24612780796738698,P53,0.2315682466971262
U39,P36,0.4882213862690555,P11,0.35039149808012715,P54,0.2520169785310866
U40,P58,0.29794187658035576,P57,0.2901312632751673,P17,0.2877995890646088
U41,P50,0.2783858938619723,P57,0.2720182670133387,P54,0.25578644176699916
U42,P21,0.2828597954826413,P55,0.2715079838920793,P38,0.24932183329627938
U43,P86,0.22998341536034392,P7,0.21920378696067075,P47,0.21765539263385833
U44,P71,0.36778055080323613,P76,0.33144962587187493,P23,0.29437553071000677
U45,P46,0.3264853039105238,P72,0.32357116537735575,P40,0.269651462460263
U46,P23,0.3490376151680959,P86,0.27709374618181204,P79,0.20542269183523357
U47,P52,0.3500137532692946,P41,0.3156813281618938,P60,0.29657911533831455
U48,P71,0.32806215615886947,P76,0.26454630326573403,P80,0.25428375696098826
U49,P60,0.2953650034017001,P21,0.2183349373210922,P83,0.21328826338822593
U50,P64,0.3389973958858784,P2,0.31415332240400845,P73,0.29719621269379315
